sentence_id,via_component,target_id
25,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java
25,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java
25,_5LN7MLg2EeSNPorBlo7x9g,mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java
26,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java
26,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java
27,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java
27,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java
29,_tBjC0HDpEeSqnN80MQ2uGw,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/UserDBAdapterImpl.java
29,_tBjC0HDpEeSqnN80MQ2uGw,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/User.java
30,_tBjC0HDpEeSqnN80MQ2uGw,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/UserDBAdapterImpl.java
30,_tBjC0HDpEeSqnN80MQ2uGw,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/User.java
31,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java
31,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java
31,_5LN7MLg2EeSNPorBlo7x9g,mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java
32,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java
32,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java
32,_5LN7MLg2EeSNPorBlo7x9g,mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java
34,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java
34,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java
9,_p_EeYHDrEeSqnN80MQ2uGw,mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java
24,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java
24,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java
24,_5LN7MLg2EeSNPorBlo7x9g,mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java
28,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java
28,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java
34,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java
34,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java
34,_5LN7MLg2EeSNPorBlo7x9g,mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java
